x,y,cluster
-2.630704,-0.925735,0
-2.690244,-0.935490,0
-2.810723,-0.970979,0
-2.970755,-1.040342,0
-3.139615,-1.125912,0
-3.139923,-1.094738,0
-3.152646,-0.958785,0
-3.085912,-0.860851,0
-3.003131,-0.735942,0
-2.859383,-0.716316,0
-2.809443,-0.669464,0
-2.787929,-0.629464,0
-2.760250,-0.485618,0
-2.621310,-0.515161,0
-2.584301,-0.682828,0
-2.519588,-0.981527,0
-2.403436,-1.226888,0
-2.075422,-1.507965,0
-1.965290,-1.632139,0
-1.958426,-1.469836,0
-2.114682,-1.225164,0
-2.211582,-0.954614,0
-2.416686,-0.712175,0
-2.521913,-0.582986,0
-2.522038,-0.525673,0
-2.568838,-0.576856,0
-2.680908,-0.607103,0
-2.724525,-0.711954,0
-2.810382,-0.866975,0
-2.927280,-1.029525,0
-2.863208,-1.168995,0
-2.672767,-1.239187,0
-2.435347,-1.197617,0
-2.318449,-1.089185,0
-2.261041,-0.957842,0
-2.230608,-0.841900,0
-2.202236,-0.798759,0
-2.267236,-0.721882,0
-2.353997,-0.652886,0
-2.527867,-0.595952,0
-2.602323,-0.767726,0
-2.679698,-1.124700,0
-2.852785,-1.101011,0
-2.772032,-0.907344,0
-2.600968,-0.699644,0
-2.419858,-0.694775,0
-2.399491,-0.869247,0
-2.352696,-0.828078,0
-2.310678,-0.816943,0
-2.466304,-0.667351,0
-2.622088,-0.555627,0
-2.760462,-0.429225,0
-2.689944,-0.410846,0
-2.659290,-0.382197,0
-2.534210,-0.363000,0
-2.488024,-0.243456,0
-2.497830,-0.173971,0
-2.551900,-0.230730,0
-2.542664,-0.302669,0
-2.570158,-0.374813,0
-2.509138,-0.314458,0
-2.366243,-0.280012,0
-2.222312,-0.237471,0
-2.215612,-0.128510,0
-2.347469,-0.090005,0
-2.398600,-0.122662,0
-2.485732,-0.214774,0
-2.436113,-0.289904,0
-2.287103,-0.358088,0
-2.221210,-0.369271,0
-2.254063,-0.266587,0
-2.246838,-0.229181,0
-2.171552,-0.246773,0
-2.149209,-0.268882,0
-2.200181,-0.365510,0
-2.194994,-0.561174,0
-2.254065,-0.684073,0
-2.333060,-0.653854,0
-2.479704,-0.403101,0
-2.461942,-0.323143,0
-2.268992,-0.396373,0
-2.121455,-0.461551,0
-2.152209,-0.528391,0
-2.319225,-0.499551,0
-2.452195,-0.625901,0
-2.476110,-0.535767,0
-2.392955,-0.494883,0
-2.287457,-0.293696,0
-2.193142,-0.464329,0
-2.223426,-0.321107,0
-2.167006,-0.480390,0
-2.141350,-0.416099,0
-2.204201,-0.586882,0
-2.166801,-0.557267,0
-2.010796,-0.647339,0
-1.827977,-0.792445,0
-1.681772,-0.988886,0
-1.593991,-1.072345,0
-1.587573,-1.079154,0
-1.614058,-1.248303,0
-1.431023,-1.492863,2
-0.924700,-2.272581,2
-0.544758,-2.821761,2
-0.408032,-3.107068,2
-0.280652,-3.121556,2
-0.178536,-3.087511,2
-0.161806,-3.059453,2
-0.234557,-3.096234,2
-0.362040,-3.010103,2
-0.409508,-3.028964,2
-0.405615,-3.031781,2
-0.329349,-3.075095,2
-0.334499,-3.091743,2
-0.330345,-3.133501,2
-0.356528,-3.202811,2
-0.451074,-3.156647,2
-0.621235,-2.967431,2
-0.652085,-2.844290,2
-0.635870,-2.668469,2
-0.575022,-2.568353,2
-0.582063,-2.480320,2
-0.596691,-2.525095,2
-0.552007,-2.638280,2
-0.493637,-2.831488,2
