x,y
-2.898404947,-0.377447697
-2.851514587,-0.400359266
-2.771973192,-0.427182325
-2.736028319,-0.51228179
-2.710428669,-0.601397549
-2.709025319,-0.59652324
-2.66118564,-0.581831094
-2.645345897,-0.515995206
-2.563803309,-0.416807551
-2.443125172,-0.384133795
-2.314018923,-0.490630015
-2.342653081,-0.646287114
-2.451138005,-0.669096886
-2.581445802,-0.631636014
-2.688009109,-0.446647718
-2.728511297,-0.473112408
-2.801346413,-0.416483411
-2.766741963,-0.403729109
-2.741914822,-0.261259603
-2.661734307,-0.32873237
-2.674974049,-0.385069269
-2.687077566,-0.435355416
-2.618313022,-0.348666181
-2.454299002,-0.361590438
-2.36814264,-0.406367416
-2.443529735,-0.531070517
-2.552780231,-0.567433651
-2.590048766,-0.590487404
-2.470355573,-0.554905146
-2.400985739,-0.591872524
-2.450121598,-0.749492322
-2.536131658,-0.824496814
-2.505156643,-0.759921063
-2.414780894,-0.699592222
-2.383382257,-0.642800754
-2.461729695,-0.749712197
-2.632915433,-0.778315978
-2.755969666,-0.856582901
-2.869928263,-0.802765856
-2.832698452,-0.759835219
-2.886561619,-0.869581407
-3.027819224,-1.009808735
-3.149882746,-1.043783694
-3.1406759,-0.886174513
-3.090808417,-0.801572287
-2.976492744,-0.765105615
-2.886994836,-0.761038524
-2.736550479,-0.631024998
-2.680878712,-0.617400215
-2.690550141,-0.599695055
-2.660760137,-0.713520124
-2.613302325,-0.796952546
-2.709296067,-0.930005014
-2.754743976,-0.954798946
-2.760014282,-0.918853321
-2.663641966,-0.901698023
-2.630704455,-0.925734782
-2.690244276,-0.935489866
-2.810722765,-0.97097881
-2.970755191,-1.040341653
-3.139614817,-1.125911657
-3.139922811,-1.094738203
-3.152645948,-0.958784624
-3.085911548,-0.860851185
-3.003131215,-0.735942163
-2.859382674,-0.716315709
-2.809443242,-0.6694639
-2.787929168,-0.629464437
-2.760249694,-0.485617532
-2.621309849,-0.515160867
-2.584300747,-0.682828112
-2.519587509,-0.981526559
